94cb5e06-e75d-4f35-a36c-d63ac257a4db,Peggy Johnston,55 Philmont Rd.,44387129371,female,1982-02-19,working,peggyjohnston@school.com,PeggyJohnston,12345678,English teacher
52746570-49d8-446f-b1e9-59f74e6e57ec,Jackie Hall,40 Ryan Street,44387129372,male,1980-02-13,working,JackieHall@school.com,JackieHall,12345678,Maths teacher 
bdebe4c2-06cd-4fd1-aef1-075a22e89272,Lois Mullins,253 Smoky Hollow St.,44387129373,female,1978-02-06,working,LoisMullins@school.com,LoisMullins,12345678,Science teacher
fae283a3-7ac1-481a-8e43-bd05ed6d4d52,Kenny Erickson,56 Myrtle Court,44387129374,male,1976-01-31,working,KennyErickson@school.com,KennyErickson,12345678,Law teacher
7aff2582-1b80-45c5-8c73-5466f5e20b55,Virginia Ballard,9206 Blue Spring Street,44387129375,female,1974-01-24,working,VirginiaBallard@school.com,VirginiaBallard,12345678,"History teacher, Principle"
55a6e3d1-9cec-498a-aea5-eac799bab49f,Jack Guerrero,36 Maple Court,44387129376,male,1972-01-18,working,JackGuerrero@school.com,JackGuerrero,12345678,Spanish teacher
a7dfca96-9524-4f94-9fa9-38d909737c98,Dwight Myers,54 Leatherwood Drive,44387129377,female,1970-01-11,working,DwightMyers@school.com,DwightMyers,12345678,English teacher
d1c64406-e031-4518-8961-ec0d815dc0da,Saul Reynolds,40 Squaw Creek Drive,44387129378,male,1968-01-05,working,SaulReynolds@school.com,SaulReynolds,12345678,Maths teacher 
b3643cf2-f3fd-425e-a10d-ad833d6c1bfe,Jenny Wilson,152 Heather Street,44387129379,female,1965-12-29,working,JennyWilson@school.com,JennyWilson,12345678,Science teacher
fcbb29a0-4a51-465e-9f2f-0810ce007025,Grady Cross,600 Orange St.,44387129380,male,1963-12-23,working,GradyCross@school.com,GradyCross,12345678,Geography teacher
